Date,Open,High,Low,Close,Volume,Adj. Close*
4-Jan-06,10843.97,10946.27,10772.89,10880.15,2515330048,10880.15
3-Jan-06,10718.30,10888.40,10650.18,10847.41,2554569984,10847.41
30-Dec-05,10783.86,10801.87,10675.64,10717.50,1443500032,10717.50
29-Dec-05,10795.70,10870.71,10747.76,10784.82,1382540032,10784.82
28-Dec-05,10778.25,10858.07,10750.40,10796.26,1422360064,10796.26
27-Dec-05,10883.75,10956.99,10754.16,10777.77,1540470016,10777.77
23-Dec-05,10901.68,10904.40,10869.98,10883.27,1285810048,10883.27
22-Dec-05,10831.56,10928.34,10785.93,10889.44,1888499968,10889.44
21-Dec-05,10805.63,10933.70,10776.01,10805.63,2065170048,10805.63
20-Dec-05,10836.93,10905.28,10754.56,10805.55,1996690048,10805.55
19-Dec-05,10875.51,10970.04,10781.70,10836.53,2208809984,10836.53
16-Dec-05,10881.67,10978.21,10830.84,10875.59,2584189952,10875.59
15-Dec-05,10883.43,10985.01,10803.55,10881.67,2180590080,10881.67
14-Dec-05,10821.32,10953.07,10786.34,10883.51,2145520000,10883.51
13-Dec-05,10765.69,10902.64,10694.29,10823.72,2390020096,10823.72
12-Dec-05,10778.66,10857.02,10707.18,10767.77,1876550016,10767.77
9-Dec-05,10751.76,10845.33,10694.05,10778.58,1896290048,10778.58
8-Dec-05,10808.43,10871.11,10705.17,10755.12,2178299904,10755.12
7-Dec-05,10856.86,10916.89,10737.27,10810.91,2093830016,10810.91
6-Dec-05,10835.41,10956.13,10809.15,10856.86,2110739968,10856.86
5-Dec-05,10876.95,10923.37,10766.57,10835.01,2325839872,10835.01
2-Dec-05,10912.01,10952.83,10818.36,10877.51,2125580032,10877.51
1-Dec-05,10806.03,10969.97,10806.03,10912.57,2614830080,10912.57
30-Nov-05,10883.91,10959.80,10789.38,10805.87,2374690048,10805.87
29-Nov-05,10888.48,10994.85,10850.29,10888.16,2268339968,10888.16
28-Nov-05,10932.74,10992.39,10839.37,10890.72,2016899968,10890.72
25-Nov-05,10915.13,10997.50,10883.55,10931.62,724940032,10931.62
23-Nov-05,10865.90,10950.59,10855.42,10916.09,1985400064,10916.09
22-Nov-05,10815.96,10907.77,10729.99,10871.43,2291419904,10871.43
21-Nov-05,10766.33,10871.11,10708.86,10820.28,2117350016,10820.28
18-Nov-05,10719.34,10865.58,10663.79,10766.33,2453289984,10766.33
17-Nov-05,10677.00,10778.50,10619.61,10720.22,2298040064,10720.22
16-Nov-05,10697.81,10710.78,10653.14,10674.76,2121580032,10674.76
15-Nov-05,10697.01,10783.62,10610.08,10686.44,2359369984,10686.44
14-Nov-05,10686.60,10756.88,10618.89,10697.17,1899779968,10697.17
11-Nov-05,10641.30,10725.99,10595.89,10686.04,1773139968,10686.04
10-Nov-05,10550.61,10655.22,10519.71,10640.10,2378459904,10640.10
9-Nov-05,10539.24,10637.78,10466.24,10546.21,2214459904,10546.21
8-Nov-05,10574.18,10606.80,10478.49,10539.72,1965049984,10539.72
7-Nov-05,10531.24,10632.34,10488.74,10586.23,1987580032,10586.23
4-Nov-05,10523.23,10593.51,10441.59,10530.76,2050509952,10530.76
3-Nov-05,10470.49,10613.84,10421.98,10522.59,2716630016,10522.59
2-Nov-05,10406.29,10527.32,10347.70,10472.73,2648090112,10472.73
1-Nov-05,10437.51,10510.03,10352.42,10406.77,2457850112,10406.77
31-Oct-05,10403.17,10539.16,10372.67,10440.07,2567470080,10440.07
28-Oct-05,10231.15,10433.51,10213.14,10402.77,2379399936,10402.77
27-Oct-05,10334.81,10348.66,10229.95,10229.95,2395369984,10229.95
26-Oct-05,10377.39,10474.18,10283.10,10344.98,2467749888,10344.98
25-Oct-05,10383.88,10457.52,10282.78,10377.87,2312470016,10377.87
24-Oct-05,10219.15,10411.57,10219.15,10385.00,2197789952,10385.00
21-Oct-05,10282.22,10354.02,10161.60,10215.22,2470919936,10215.22
20-Oct-05,10411.73,10483.21,10230.27,10281.10,2617250048,10281.10
19-Oct-05,10277.18,10444.15,10173.52,10414.13,2703589888,10414.13
18-Oct-05,10349.14,10412.85,10233.47,10285.26,2197009920,10285.26
17-Oct-05,10287.42,10419.58,10213.06,10348.10,2054569984,10348.10
14-Oct-05,10216.59,10327.21,10165.12,10287.34,2188940032,10287.34
13-Oct-05,10216.91,10309.20,10098.18,10216.59,2351150080,10216.59
12-Oct-05,10247.40,10308.23,10186.17,10216.90,2491279872,10216.90
11-Oct-05,10239.16,10361.15,10195.13,10253.17,2299040000,10253.17
10-Oct-05,10292.95,10378.19,10184.09,10238.76,2195990016,10238.76
7-Oct-05,10287.42,10387.48,10221.47,10292.31,2126080000,10292.31
6-Oct-05,10317.36,10425.98,10200.81,10287.10,2792029952,10287.10
5-Oct-05,10434.81,10477.21,10299.27,10317.36,2546779904,10317.36
4-Oct-05,10534.36,10618.41,10409.89,10441.11,2341420032,10441.11
3-Oct-05,10569.50,10637.00,10486.17,10535.48,2097490048,10535.48
30-Sep-05,10540.51,10569.81,10526.34,10568.70,2097520000,10568.70
29-Sep-05,10472.61,10583.43,10389.01,10552.78,2176120064,10552.78
28-Sep-05,10456.61,10560.02,10390.05,10473.08,2106979968,10473.08
27-Sep-05,10444.58,10534.31,10376.83,10456.21,1976269952,10456.21
26-Sep-05,10420.22,10544.98,10381.53,10443.63,2022220032,10443.63
23-Sep-05,10421.81,10494.42,10328.59,10419.59,1973020032,10419.59
22-Sep-05,10376.20,10489.64,10303.51,10422.05,2424719872,10422.05
21-Sep-05,10484.23,10512.02,10335.28,10378.03,2548150016,10378.03
20-Sep-05,10558.19,10642.26,10453.98,10481.52,2319249920,10481.52
19-Sep-05,10641.87,10656.75,10497.29,10557.63,2076540032,10557.63
16-Sep-05,10560.50,10696.24,10539.64,10641.94,3152470016,10641.94
15-Sep-05,10545.85,10627.85,10488.05,10558.75,2079340032,10558.75
14-Sep-05,10545.85,10627.85,10488.05,10558.75,1986749952,10558.75
13-Sep-05,10673.71,10701.57,10561.61,10597.44,2082360064,10597.44
12-Sep-05,10678.41,10743.77,10618.13,10682.94,1938050048,10682.94
9-Sep-05,10594.10,10727.53,10573.47,10678.56,1992560000,10678.56
8-Sep-05,10633.11,10670.60,10530.01,10595.93,1955379968,10595.93
7-Sep-05,10588.68,10667.10,10534.23,10633.50,2067699968,10633.50
6-Sep-05,10447.69,10621.96,10447.69,10589.24,1932089984,10589.24
2-Sep-05,10460.67,10536.14,10400.88,10447.37,1640160000,10447.37
1-Sep-05,10481.44,10557.47,10382.09,10459.63,2229860096,10459.63
31-Aug-05,10415.84,10484.55,10357.65,10481.60,2365509888,10481.60
30-Aug-05,10461.54,10476.83,10329.15,10412.82,1916470016,10412.82
29-Aug-05,10396.90,10508.35,10321.42,10463.05,1599449984,10463.05
26-Aug-05,10450.95,10480.01,10355.02,10397.29,1541090048,10397.29
25-Aug-05,10434.39,10506.60,10391.71,10450.63,1571110016,10450.63
24-Aug-05,10519.34,10584.30,10407.56,10434.87,1930800000,10434.87
23-Aug-05,10571.01,10604.29,10475.63,10519.58,1678620032,10519.58
22-Aug-05,10559.78,10669.81,10509.07,10569.89,1621330048,10569.89
19-Aug-05,10552.70,10656.59,10503.90,10559.23,1558790016,10559.23
18-Aug-05,10531.12,10592.34,10517.67,10554.92,1808169984,10554.92
17-Aug-05,10505.60,10625.86,10472.45,10550.71,1859149952,10550.71
16-Aug-05,10631.59,10650.14,10489.24,10513.45,1820409984,10513.45
15-Aug-05,10599.19,10687.72,10532.48,10634.38,1562880000,10634.38
12-Aug-05,10682.70,10688.68,10549.19,10600.30,1709299968,10600.30
11-Aug-05,10591.83,10721.56,10549.43,10685.89,1941560064,10685.89
10-Aug-05,10606.52,10746.87,10553.81,10594.41,2172320000,10594.41
9-Aug-05,10537.65,10662.80,10537.01,10615.67,1897520000,10615.67
8-Aug-05,10557.24,10635.65,10497.45,10536.93,1804140032,10536.93
5-Aug-05,10610.34,10643.46,10512.49,10558.03,1930279936,10558.03
4-Aug-05,10696.80,10709.77,10568.70,10610.10,1981219968,10610.10
3-Aug-05,10681.51,10735.17,10600.02,10697.59,1999980032,10697.59
2-Aug-05,10623.79,10729.60,10600.62,10683.74,2043120000,10683.74
1-Aug-05,10641.78,10713.51,10578.97,10623.15,1716870016,10623.15
29-Jul-05,10705.16,10754.60,10608.27,10640.91,1789600000,10640.91
28-Jul-05,10633.50,10745.68,10603.49,10705.55,2001680000,10705.55
27-Jul-05,10579.45,10689.31,10530.50,10637.09,1945799936,10637.09
26-Jul-05,10597.60,10667.90,10535.58,10579.77,1934179968,10579.77
25-Jul-05,10651.66,10709.69,10565.12,10596.48,1717580032,10596.48
22-Jul-05,10624.19,10702.21,10552.54,10651.18,1766989952,10651.18
21-Jul-05,10690.03,10735.33,10567.98,10627.77,2129840000,10627.77
20-Jul-05,10629.52,10726.81,10535.10,10689.15,2063340032,10689.15
19-Jul-05,10576.90,10718.69,10573.00,10646.56,2041280000,10646.56
18-Jul-05,10640.19,10681.99,10533.59,10574.99,1582099968,10574.99
15-Jul-05,10629.44,10698.07,10559.46,10640.83,1716400000,10640.83
14-Jul-05,10559.86,10696.96,10559.86,10628.88,2048710016,10628.88
13-Jul-05,10513.36,10596.98,10481.36,10557.39,1812499968,10557.39
12-Jul-05,10519.49,10583.02,10444.46,10513.89,1932009984,10513.89
11-Jul-05,10449.60,10570.67,10425.97,10519.72,1846300032,10519.72
8-Jul-05,10302.90,10486.50,10279.65,10449.14,1900809984,10449.14
7-Jul-05,10269.76,10337.84,10142.24,10302.29,1952440064,10302.29
6-Jul-05,10366.52,10413.23,10242.21,10270.68,1883469952,10270.68
5-Jul-05,10292.62,10388.91,10282.64,10371.80,1805820032,10371.80
1-Jul-05,10273.59,10380.78,10239.91,10303.44,1593820032,10303.44
30-Jun-05,10374.18,10458.19,10253.49,10274.97,2109490048,10274.97
29-Jun-05,10405.94,10472.46,10332.52,10374.48,1769280000,10374.48
28-Jun-05,10291.01,10434.18,10285.86,10405.63,1772409984,10405.63
27-Jun-05,10298.07,10377.55,10229.40,10290.78,1738620032,10290.78
24-Jun-05,10422.28,10452.82,10266.30,10297.83,2418800128,10297.83
23-Jun-05,10587.09,10617.39,10401.49,10421.44,2029920000,10421.44
22-Jun-05,10599.36,10676.24,10543.28,10587.93,1823250048,10587.93
21-Jun-05,10608.88,10670.56,10545.89,10599.67,1720700032,10599.67
20-Jun-05,10621.54,10656.66,10539.21,10609.10,1714530048,10609.10
17-Jun-05,10580.41,10710.38,10561.00,10623.07,2407369984,10623.07
16-Jun-05,10566.76,10632.20,10501.92,10578.65,1776039936,10578.65
15-Jun-05,10548.65,10628.67,10471.69,10566.37,1840440064,10566.37
14-Jun-05,10521.95,10617.01,10473.92,10547.57,1698150016,10547.57
13-Jun-05,10503.57,10611.10,10437.32,10522.56,1661350016,10522.56
10-Jun-05,10503.02,10581.13,10410.50,10512.63,1664179968,10512.63
9-Jun-05,10477.75,10556.90,10410.80,10503.02,1824120064,10503.02
8-Jun-05,10484.84,10575.81,10439.77,10476.86,1715490048,10476.86
7-Jun-05,10466.00,10603.15,10454.18,10483.07,1851369984,10483.07
6-Jun-05,10461.64,10519.79,10410.28,10467.03,1547120000,10467.03
3-Jun-05,10552.82,10572.18,10427.35,10460.97,1627520000,10460.97
2-Jun-05,10548.83,10590.07,10478.26,10553.49,1813789952,10553.49
1-Jun-05,10462.86,10616.15,10433.48,10549.87,1810099968,10549.87
31-May-05,10541.89,10574.92,10437.77,10467.48,1840679936,10467.48
27-May-05,10537.08,10579.94,10489.35,10542.55,1381430016,10542.55
26-May-05,10458.68,10581.87,10450.55,10537.60,1654109952,10537.60
25-May-05,10503.17,10516.17,10396.46,10457.80,1742179968,10457.80
24-May-05,10522.68,10550.24,10433.78,10503.68,1680999936,10503.68
23-May-05,10472.80,10589.92,10438.36,10523.56,1681170048,10523.56
20-May-05,10492.75,10535.24,10400.60,10471.91,1631750016,10471.91
19-May-05,10464.45,10538.71,10394.39,10493.19,1775859968,10493.19
18-May-05,10323.19,10518.17,10323.19,10464.45,2266319872,10464.45
17-May-05,10247.49,10357.30,10175.81,10331.88,1887260032,10331.88
16-May-05,10139.61,10274.39,10118.32,10252.29,1856860032,10252.29
13-May-05,10188.23,10268.85,10062.76,10140.12,2188590080,10140.12
12-May-05,10299.74,10357.37,10155.86,10189.48,1995289984,10189.48
11-May-05,10272.91,10355.31,10172.86,10300.25,1834969984,10300.25
10-May-05,10382.94,10389.96,10230.35,10281.11,1889660032,10281.11
9-May-05,10345.40,10416.56,10288.95,10384.34,1857020032,10384.34
6-May-05,10339.71,10454.40,10300.70,10345.40,1707200000,10345.40
5-May-05,10384.49,10447.08,10276.75,10340.38,1997100032,10340.38
4-May-05,10255.25,10412.20,10239.95,10384.64,2306480128,10384.64
3-May-05,10251.04,10327.37,10169.39,10256.95,2167020032,10256.95
2-May-05,10192.00,10309.86,10149.06,10251.70,1980039936,10251.70
29-Apr-05,10073.47,10231.31,10021.23,10192.51,2362360064,10192.51
28-Apr-05,10194.58,10229.09,10036.74,10070.37,2182269952,10070.37
27-Apr-05,10150.32,10250.23,10048.27,10198.80,2151520000,10198.80
26-Apr-05,10240.99,10298.85,10108.79,10151.13,1959740032,10151.13
25-Apr-05,10158.52,10305.87,10148.25,10242.47,1795030016,10242.47
22-Apr-05,10216.68,10266.48,10055.29,10157.71,2045880064,10157.71
21-Apr-05,10010.51,10250.30,10010.51,10218.60,2308559872,10218.60
20-Apr-05,10131.18,10232.34,9978.74,10012.36,2217050112,10012.36
19-Apr-05,10071.55,10220.21,10021.08,10127.41,2142700032,10127.41
18-Apr-05,10088.54,10183.50,9961.52,10071.25,2180669952,10071.25
15-Apr-05,10276.61,10311.26,10059.36,10087.51,2689959936,10087.51
14-Apr-05,10403.71,10457.06,10248.23,10278.75,2355040000,10278.75
13-Apr-05,10507.45,10567.38,10355.16,10403.93,2049740032,10403.93
12-Apr-05,10448.63,10552.60,10331.21,10507.97,1979830016,10507.97
11-Apr-05,10462.08,10530.58,10393.36,10448.56,1525309952,10448.56
8-Apr-05,10546.32,10584.60,10445.31,10461.34,1661330048,10461.34
7-Apr-05,10485.88,10589.99,10434.30,10546.32,1900620032,10546.32
6-Apr-05,10453.45,10557.18,10434.22,10486.02,1797400064,10486.02
5-Apr-05,10421.14,10530.14,10372.59,10458.46,1870800000,10458.46
4-Apr-05,10401.71,10496.44,10307.64,10421.14,2079769984,10421.14
1-Apr-05,10504.57,10600.56,10349.02,10404.30,2168689920,10404.30
31-Mar-05,10541.59,10586.15,10448.19,10503.76,2214230016,10503.76
30-Mar-05,10405.77,10564.80,10395.21,10540.93,2097110016,10540.93
29-Mar-05,10486.10,10565.46,10351.76,10405.70,2223249920,10405.70
28-Mar-05,10444.13,10568.05,10412.79,10485.65,1746220032,10485.65
24-Mar-05,10457.06,10554.60,10415.16,10442.87,1721720064,10442.87
23-Mar-05,10470.58,10558.51,10384.34,10456.02,2246870016,10456.02
22-Mar-05,10565.39,10651.41,10446.78,10470.51,2114470016,10470.51
21-Mar-05,10629.90,10662.93,10503.46,10565.39,1819440000,10565.39
18-Mar-05,10627.83,10709.85,10520.60,10629.67,2344369920,10629.67
17-Mar-05,10633.30,10707.86,10561.10,10626.35,1581929984,10626.35
16-Mar-05,10741.63,10764.16,10569.30,10633.07,1653190016,10633.07
15-Mar-05,10804.29,10884.76,10716.87,10745.10,1513529984,10745.10
14-Mar-05,10773.92,10859.12,10709.26,10804.51,1437430016,10804.51
11-Mar-05,10845.30,10897.68,10728.62,10774.36,1449820032,10774.36
10-Mar-05,10806.28,10907.45,10757.36,10851.51,1604019968,10851.51
9-Mar-05,10912.32,10949.20,10768.66,10805.62,1704969984,10805.62
8-Mar-05,10935.60,10996.56,10863.40,10912.62,1523090048,10912.62
7-Mar-05,10940.55,11027.15,10886.09,10936.86,1488829952,10936.86
4-Mar-05,10834.51,10996.93,10834.51,10940.55,1636819968,10940.55
3-Mar-05,10812.27,10904.34,10744.14,10833.03,1616240000,10833.03
2-Mar-05,10825.68,10896.66,10736.16,10811.97,1568540032,10811.97
1-Mar-05,10794.98,10849.14,10769.04,10830.00,1708060032,10830.00
28-Feb-05,10842.05,10877.07,10709.41,10766.23,1795480064,10766.23
25-Feb-05,10748.42,10871.53,10698.32,10841.60,1523680000,10841.60
24-Feb-05,10672.24,10779.39,10612.24,10748.79,1518749952,10748.79
23-Feb-05,10609.28,10735.42,10583.64,10673.79,1501090048,10673.79
22-Feb-05,10783.38,10806.36,10596.79,10611.20,1744940032,10611.20
18-Feb-05,10755.15,10854.98,10682.29,10785.22,1551200000,10785.22
17-Feb-05,10835.03,10873.60,10729.95,10754.26,1580120064,10754.26
16-Feb-05,10832.03,10889.78,10746.21,10834.88,1490099968,10834.88
15-Feb-05,10791.06,10886.31,10745.10,10837.32,1527079936,10837.32
14-Feb-05,10795.72,10853.80,10722.63,10791.13,1290179968,10791.13
11-Feb-05,10742.92,10865.69,10680.15,10796.01,1562300032,10796.01
10-Feb-05,10665.00,10803.92,10633.67,10749.61,1491670016,10749.61
9-Feb-05,10717.76,10781.38,10621.84,10664.11,1511040000,10664.11
8-Feb-05,10712.51,10783.97,10647.85,10724.63,1416169984,10724.63
7-Feb-05,10715.76,10774.80,10650.59,10715.76,1347270016,10715.76
4-Feb-05,10593.17,10750.94,10553.93,10716.13,1648160000,10716.13
3-Feb-05,10592.21,10640.69,10511.96,10593.10,1554460032,10593.10
2-Feb-05,10551.05,10638.25,10501.02,10596.79,1561740032,10596.79
1-Feb-05,10489.72,10609.73,10464.38,10551.94,1681980032,10551.94
31-Jan-05,10428.76,10559.77,10414.49,10489.94,1679800064,10489.94
28-Jan-05,10470.58,10520.61,10331.58,10427.20,1641799936,10427.20
27-Jan-05,10498.14,10535.16,10379.47,10467.40,1600600064,10467.40
26-Jan-05,10463.19,10571.66,10433.56,10498.59,1635900032,10498.59
25-Jan-05,10369.42,10534.72,10369.42,10461.56,1610400000,10461.56
24-Jan-05,10393.58,10491.71,10317.10,10368.61,1494599936,10368.61
21-Jan-05,10471.98,10541.30,10370.97,10392.99,1643500032,10392.99
20-Jan-05,10538.90,10582.09,10414.72,10471.47,1692000000,10471.47
19-Jan-05,10626.05,10668.40,10519.20,10539.97,1498700032,10539.97
18-Jan-05,10554.23,10665.44,10456.61,10628.79,1596800000,10628.79
14-Jan-05,10506.71,10606.47,10475.01,10558.00,1335399936,10558.00
13-Jan-05,10617.41,10650.96,10463.26,10505.83,1510300032,10505.83
12-Jan-05,10561.32,10648.52,10481.37,10617.78,1562099968,10617.78
11-Jan-05,10619.77,10632.63,10504.72,10556.22,1488800000,10556.22
10-Jan-05,10603.44,10696.85,10544.99,10621.03,1490400000,10621.03
7-Jan-05,10624.80,10697.81,10545.80,10603.96,1477900032,10603.96
6-Jan-05,10593.19,10708.37,10555.48,10622.88,1569100032,10622.88
5-Jan-05,10629.53,10736.16,10561.03,10597.83,1738899968,10597.83
4-Jan-05,10727.81,10803.62,10587.48,10630.78,1720199936,10630.78
3-Jan-05,10783.75,10892.67,10694.18,10729.43,1505900032,10729.43
31-Dec-04,10800.30,10849.81,10759.94,10783.01,786899968,10783.01
30-Dec-04,10829.12,10880.03,10781.67,10800.30,829800000,10800.30
29-Dec-04,10853.72,10872.71,10771.26,10829.19,924899968,10829.19
28-Dec-04,10776.06,10890.82,10774.51,10854.54,984200000,10854.54
27-Dec-04,10828.01,10892.52,10755.67,10776.13,922000000,10776.13
23-Dec-04,10815.00,10895.10,10780.12,10827.12,956099968,10827.12
22-Dec-04,10752.34,10861.33,10709.78,10815.89,1390800000,10815.89
21-Dec-04,10661.89,10789.66,10646.60,10759.43,1483699968,10759.43
20-Dec-04,10652.14,10769.13,10622.20,10661.60,1422800000,10661.60
17-Dec-04,10704.83,10766.01,10562.76,10649.92,2335000064,10649.92
16-Dec-04,10691.71,10776.43,10612.31,10705.64,1793900032,10705.64
15-Dec-04,10675.71,10749.53,10601.74,10691.45,1695800064,10691.45
14-Dec-04,10640.53,10715.76,10571.67,10676.45,1544400000,10676.45
13-Dec-04,10543.44,10678.52,10520.61,10638.32,1436099968,10638.32
10-Dec-04,10552.16,10616.23,10469.62,10543.22,1443699968,10543.22
9-Dec-04,10492.45,10579.94,10389.81,10552.82,1624700032,10552.82
8-Dec-04,10438.77,10550.16,10395.05,10494.23,1525200000,10494.23
7-Dec-04,10546.80,10612.90,10423.21,10440.58,1533900032,10440.58
6-Dec-04,10591.32,10614.82,10490.31,10547.06,1354400000,10547.06
3-Dec-04,10597.90,10670.47,10515.73,10592.21,1566700032,10592.21
2-Dec-04,10590.44,10670.02,10485.21,10585.12,1774899968,10585.12
1-Dec-04,10425.80,10618.59,10421.66,10590.22,1772800000,10590.22
30-Nov-04,10475.27,10530.80,10380.58,10428.02,1553500032,10428.02
29-Nov-04,10520.64,10590.73,10390.92,10475.90,1378499968,10475.90
26-Nov-04,10518.69,10574.70,10479.52,10522.23,504580000,10522.23
24-Nov-04,10493.86,10565.76,10451.66,10520.31,1149600000,10520.31
23-Nov-04,10486.69,10547.28,10407.18,10492.60,1428300032,10492.60
22-Nov-04,10455.73,10535.46,10380.95,10489.42,1392700032,10489.42
19-Nov-04,10571.63,10588.29,10419.89,10456.91,1526599936,10456.91
18-Nov-04,10549.20,10639.43,10499.62,10572.55,1456700032,10572.55
17-Nov-04,10481.83,10655.09,10470.21,10549.57,1684199936,10549.57
16-Nov-04,10549.79,10570.56,10445.31,10487.65,1364400000,10487.65
15-Nov-04,10541.89,10612.31,10463.34,10550.24,1453299968,10550.24
12-Nov-04,10469.21,10565.48,10419.77,10539.01,1531600000,10539.01
11-Nov-04,10386.95,10513.42,10364.10,10469.84,1392999936,10469.84
10-Nov-04,10378.59,10470.21,10330.54,10385.48,1504300032,10385.48
9-Nov-04,10387.62,10466.81,10327.00,10386.37,1450800000,10386.37
8-Nov-04,10385.15,10452.58,10313.51,10391.31,1358700032,10391.31
5-Nov-04,10317.05,10458.10,10279.96,10387.54,1724400000,10387.54
4-Nov-04,10132.48,10352.81,10076.36,10314.76,1782700032,10314.76
3-Nov-04,10137.05,10253.27,10062.80,10137.05,1767500032,10137.05
2-Nov-04,10053.87,10180.85,9976.29,10035.73,1659000064,10035.73
1-Nov-04,10028.73,10124.44,9953.29,10054.39,1395900032,10054.39
29-Oct-04,10004.69,10083.44,9936.77,10027.47,1500800000,10027.47
28-Oct-04,9998.94,10074.89,9900.42,10004.54,1628199936,10004.54
27-Oct-04,9888.25,10051.96,9807.80,10002.03,1741900032,10002.03
26-Oct-04,9750.59,9914.65,9718.94,9888.48,1685400064,9888.48
25-Oct-04,9757.22,9827.20,9660.18,9749.99,1380499968,9749.99
22-Oct-04,9863.85,9920.99,9732.81,9757.81,1469600000,9757.81
21-Oct-04,9884.65,9969.07,9769.16,9865.76,1672999936,9865.76
20-Oct-04,9895.19,9957.05,9766.95,9886.93,1685699968,9886.93
19-Oct-04,9958.38,10064.20,9854.19,9897.62,1737500032,9897.62
18-Oct-04,9932.98,10002.18,9816.73,9956.32,1373299968,9956.32
15-Oct-04,9895.63,10022.31,9845.56,9933.38,1645100032,9933.38
14-Oct-04,10002.54,10048.48,9837.22,9894.45,1489500032,9894.45
13-Oct-04,10085.21,10157.11,9935.08,10002.33,1546200064,10002.33
12-Oct-04,10080.42,10121.49,9985.44,10077.18,1320099968,10077.18
11-Oct-04,10056.09,10142.74,10017.67,10081.97,943800000,10081.97
8-Oct-04,10124.11,10177.53,10013.91,10055.20,1291600000,10055.20
7-Oct-04,10239.84,10267.57,10086.83,10125.40,1447500032,10125.40
6-Oct-04,10170.70,10267.14,10112.20,10239.92,1416700032,10239.92
5-Oct-04,10216.76,10253.93,10123.19,10177.68,1418400000,10177.68
4-Oct-04,10191.40,10313.81,10153.79,10216.54,1534000000,10216.54
1-Oct-04,10082.04,10237.05,10081.38,10192.65,1582200064,10192.65
